Allegro Report
I:/BD_Boards/DLI_4100_2510300-Rev-D/Board/2510300_REV-D.brd
Tue Apr 12 06:54:07 2016

Net Name,Net Pins
DDC_DOUT_A15_DPP,J13.1E U11.F2
DDC_DOUT_A1_DPN,J13.9C U11.AD1
DDC_DOUT_A1_DPP,J13.9B U11.AE1
DDC_DOUT_A2_DPN,J13.9F U11.AC1
DDC_DOUT_A2_DPP,J13.9E U11.AC2
DDC_DOUT_A3_DPN,J13.8B U11.AB1
DDC_DOUT_A3_DPP,J13.8A U11.AB2
DDC_DOUT_A4_DPN,J13.8E U11.Y2
DDC_DOUT_A4_DPP,J13.8D U11.AA2
DDC_DOUT_A5_DPN,J13.7C U11.W1
DDC_DOUT_A5_DPP,J13.7B U11.Y1
DDC_DOUT_A6_DPN,J13.7F U11.V1
DDC_DOUT_A6_DPP,J13.7E U11.V2
DDC_DOUT_A7_DPN,J13.6B U11.U1
DDC_DOUT_A7_DPP,J13.6A U11.U2
DDC_DOUT_A8_DPN,J13.5F U11.R2
DDC_DOUT_A8_DPP,J13.5E U11.T2
DDC_DOUT_A9_DPN,J13.4B U11.N2
DDC_DOUT_A9_DPP,J13.4A U11.M2
DDC_DOUT_B0_DPN,J13.16E U11.AE5
DDC_DOUT_B0_DPP,J13.16D U11.AE6
DDC_DOUT_B10_DPN,J13.22E U11.W6
DDC_DOUT_B10_DPP,J13.22D U11.W5
DDC_DOUT_B11_DPN,J13.23C U11.V7
DDC_DOUT_B11_DPP,J13.23B U11.V6
DDC_DOUT_B12_DPN,J13.23F U11.U4
DDC_DOUT_B12_DPP,J13.23E U11.V3
DDC_DOUT_B13_DPN,J13.24B U11.T4
DDC_DOUT_B13_DPP,J13.24A U11.T5
DDC_DOUT_B14_DPN,J13.24E U11.U6
DDC_DOUT_B14_DPP,J13.24D U11.U5
DDC_DOUT_B15_DPN,J13.25C U11.U7
DDC_DOUT_B15_DPP,J13.25B U11.T7
DDC_DOUT_B1_DPN,J13.17C U11.AD3
DDC_DOUT_B1_DPP,J13.17B U11.AD4
DDC_DOUT_B2_DPN,J13.17F U11.AD5
DDC_DOUT_B2_DPP,J13.17E U11.AD6
DDC_DOUT_B3_DPN,J13.18B U11.AC3
DDC_DOUT_B3_DPP,J13.18A U11.AC4
DDC_DOUT_B4_DPN,J13.18E U11.AB5
DDC_DOUT_B4_DPP,J13.18D U11.AB6
DDC_DOUT_B5_DPN,J13.19C U11.AB7
DDC_DOUT_B5_DPP,J13.19B U11.AC6
DDC_DOUT_B6_DPN,J13.19F U11.AA5
DDC_DOUT_B6_DPP,J13.19E U11.AA4
DDC_DOUT_B7_DPN,J13.20B U11.AA7
DDC_DOUT_B7_DPP,J13.20A U11.Y7
DDC_DOUT_B8_DPN,J13.21F U11.Y3
DDC_DOUT_B8_DPP,J13.21E U11.W3
DDC_DOUT_B9_DPN,J13.22B U11.W4
DDC_DOUT_B9_DPP,J13.22A U11.V4
DDC_DOUT_C0_DPN,J14.10E U11.T22
DDC_DOUT_C0_DPP,J14.10D U11.T23
DDC_DOUT_C10_DPN,J14.4E U11.Y20
DDC_DOUT_C10_DPP,J14.4D U11.Y21
DDC_DOUT_C11_DPN,J14.3C U11.AA24
DDC_DOUT_C11_DPP,J14.3B U11.AA23
DDC_DOUT_C12_DPN,J14.3F U11.AA19
DDC_DOUT_C12_DPP,J14.3E U11.AA20
DDC_DOUT_C13_DPN,J14.2B U11.AC24
DDC_DOUT_C13_DPP,J14.2A U11.AB24
DDC_DOUT_C14_DPN,J14.2E U11.AC19
DDC_DOUT_C14_DPP,J14.2D U11.AD19
DDC_DOUT_C15_DPN,J14.1F U11.AC22
DDC_DOUT_C15_DPP,J14.1E U11.AC23
DDC_DOUT_C1_DPN,J14.9C U11.R20
DDC_DOUT_C1_DPP,J14.9B U11.R21
DDC_DOUT_C2_DPN,J14.9F U11.T19
DDC_DOUT_C2_DPP,J14.9E U11.T20
DDC_DOUT_C3_DPN,J14.8B U11.U21
DDC_DOUT_C3_DPP,J14.8A U11.U22
DDC_DOUT_C4_DPN,J14.8E U11.U20
DDC_DOUT_C4_DPP,J14.8D U11.U19
DDC_DOUT_C5_DPN,J14.7C U11.V23
DDC_DOUT_C5_DPP,J14.7B U11.V24
DDC_DOUT_C6_DPN,J14.7F U11.V22
DDC_DOUT_C6_DPP,J14.7E U11.V21
DDC_DOUT_C7_DPN,J14.6B U11.W19
DDC_DOUT_C7_DPP,J14.6A U11.V19
DDC_DOUT_C8_DPN,J14.5F U11.W23
DDC_DOUT_C8_DPP,J14.5E U11.W24
DDC_DOUT_C9_DPN,J14.4B U11.Y22
DDC_DOUT_C9_DPP,J14.4A U11.Y23
DDC_DOUT_D0_DPN,J14.16E U11.AB26
DDC_DOUT_D0_DPP,J14.16D U11.AC26
DDC_DOUT_D10_DPN,J14.22E U11.L25
DDC_DOUT_D10_DPP,J14.22D U11.L24
DDC_DOUT_D11_DPN,J14.23C U11.K26
DDC_DOUT_D11_DPP,J14.23B U11.K25
DDC_DOUT_D12_DPN,J14.23F U11.J26
DDC_DOUT_D12_DPP,J14.23E U11.J25
DDC_DOUT_D13_DPN,J14.24B U11.J24
DDC_DOUT_D13_DPP,J14.24A U11.H24
DDC_DOUT_D14_DPN,J14.24E U11.H26
DDC_DOUT_D14_DPP,J14.24D U11.G26
DDC_DOUT_D15_DPN,J14.25C U11.G25
DDC_DOUT_D15_DPP,J14.25B U11.G24
DDC_DOUT_D1_DPN,J14.17C U11.AA25
DDC_DOUT_D1_DPP,J14.17B U11.AB25
DDC_DOUT_D2_DPN,J14.17F U11.Y26
DDC_DOUT_D2_DPP,J14.17E U11.Y25
DDC_DOUT_D3_DPN,J14.18B U11.W26
DDC_DOUT_D3_DPP,J14.18A U11.W25
DDC_DOUT_D4_DPN,J14.18E U11.U26
DDC_DOUT_D4_DPP,J14.18D U11.V26
DDC_DOUT_D5_DPN,J14.19C U11.U25
DDC_DOUT_D5_DPP,J14.19B U11.U24
DDC_DOUT_D6_DPN,J14.19F U11.T25
DDC_DOUT_D6_DPP,J14.19E U11.T24
DDC_DOUT_D7_DPN,J14.20B U11.R26
DDC_DOUT_D7_DPP,J14.20A U11.R25
DDC_DOUT_D8_DPN,J14.21F U11.P24
DDC_DOUT_D8_DPP,J14.21E U11.P25
DDC_DOUT_D9_DPN,J14.22B U11.N24
DDC_DOUT_D9_DPP,J14.22A U11.M24
DDC_M0,R83.2 U11.W18
DDC_M1,R85.2 U11.Y17
DDC_M2,R86.2 U11.V18
DDC_SCTRL_AN,J13.6E U11.R1
DDC_SCTRL_AP,J13.6D U11.P1
DDC_SCTRL_BN,J13.20E U11.AA3
DDC_SCTRL_BP,J13.20D U11.AB4
DDC_SCTRL_CN,J14.6E U11.W20
DDC_SCTRL_CP,J14.6D U11.W21
DDC_SCTRL_DN,J14.20E U11.N26
DDC_SCTRL_DP,J14.20D U11.P26
DDC_SPARE_0,U5.AD19 U11.AB21
DDC_SPARE_1,U5.AD16 U5.AE21 U11.AC21
DDC_VERSION_0,U5.AH20 U11.F18
DDC_VERSION_1,U5.AG13 U11.G17
DDC_VERSION_2,U5.AF18 U11.H18
DDR2_A0,J15.102 RP7.4 U5.L15
DDR2_A1,J15.101 RP9.2 U5.L14
DDR2_A10,J15.105 RP9.3 U5.J19
DDR2_A11,J15.90 RP6.3 U5.L16
DDR2_A12,J15.89 RP5.2 U5.K16
DDR2_A13,J15.116 RP9.4 U5.L21
